date,product_id,price,promotion,holiday,weather_index,units_sold,day_of_week,month
2021-01-01,1,13.116599536664342,0,0,-0.9981633610875336,28,4,1
2021-01-02,1,10.631460845644996,0,0,1.6357381570406389,49,5,1
2021-01-03,1,12.928046668650335,0,0,-0.7246492613414832,45,6,1
2021-01-04,1,9.327589869879748,0,0,-1.1602645021692983,47,0,1
2021-01-05,1,15.597578341080668,0,0,-1.0154158783571536,37,1,1
2021-01-06,1,12.835612637665792,1,0,-0.4501527373873076,43,2,1
2021-01-07,1,12.674792587954435,0,0,0.1562183523496326,45,3,1
2021-01-08,1,10.106687721579531,0,0,0.327840291232449,46,4,1
2021-01-09,1,11.309397811180226,0,0,-0.4002305634133804,42,5,1
2021-01-10,1,7.170922267983009,0,0,0.8575360903663606,39,6,1
2021-01-11,1,9.507002011827732,0,0,0.5536466961533022,47,0,1
2021-01-12,1,8.988101195388264,0,0,0.4895963328273822,37,1,1
2021-01-13,1,5.873928106671738,0,0,0.6761220429321337,42,2,1
2021-01-14,1,18.15124726277586,1,0,-0.2868086082314245,42,3,1
2021-01-15,1,5.229746980211469,0,0,-0.0718120444630526,47,4,1
2021-01-16,1,5.103762255383973,0,0,0.7441744145091496,58,5,1
2021-01-17,1,18.87650864013701,0,0,0.0308177232222693,49,6,1
2021-01-18,1,18.0627043162986,1,0,0.0670369985828457,36,0,1
2021-01-19,1,18.411970495008124,0,0,-0.0535128920115672,37,1,1
2021-01-20,1,13.56035099351734,0,0,0.2843283778070741,42,2,1
2021-01-21,1,9.82454002899787,0,0,1.248015265525103,47,3,1
2021-01-22,1,8.358755250128624,1,0,-1.6287856739197235,43,4,1
2021-01-23,1,11.999387546351482,0,0,-0.5387940314300402,50,5,1
2021-01-24,1,10.09009907123206,0,0,-1.2814939967587335,48,6,1
2021-01-25,1,8.829465994085417,0,0,-0.5170774007271839,54,0,1
2021-01-26,1,6.501253932102478,0,0,0.0745411431514206,44,1,1
2021-01-27,1,17.527609379168716,0,0,1.7438170853545798,42,2,1
2021-01-28,1,16.471598321439135,0,0,2.253171676333851,45,3,1
2021-01-29,1,12.373179665727765,0,0,-0.5631478026778604,42,4,1
2021-01-30,1,11.575845743508522,0,1,1.1671034551107458,47,5,1
2021-01-31,1,10.308202362786536,0,0,-0.3384889303583344,31,6,1
2021-02-01,1,6.501292290793355,0,0,-1.1127194009618984,47,0,2
2021-02-02,1,19.96040132430202,0,0,-0.8057741764422759,35,1,2
2021-02-03,1,5.325389524224345,0,0,-0.6363288433504097,48,2,2
2021-02-04,1,18.09119887601661,0,0,0.3913458311774883,48,3,2
2021-02-05,1,16.003097274003252,0,0,2.853863431995959,39,4,2
2021-02-06,1,6.16815110787382,0,0,0.0826179617560383,42,5,2
2021-02-07,1,14.946047722917296,0,0,1.194701021232218,38,6,2
2021-02-08,1,17.711770843680362,0,0,-2.2940392275069987,42,0,2
2021-02-09,1,15.440479007657576,0,0,-0.2360274979064748,47,1,2
2021-02-10,1,13.616774490223612,0,0,1.530366710429913,46,2,2
2021-02-11,1,19.31009584356065,0,0,0.7946468156169922,39,3,2
2021-02-12,1,9.922619066873478,0,0,2.055243063025784,36,4,2
2021-02-13,1,10.864723727146474,0,0,-1.007645270883151,33,5,2
2021-02-14,1,7.682016051991646,0,0,0.5752061925973427,46,6,2
2021-02-15,1,18.72721930538393,0,0,0.0011613199512434,39,0,2
